[2017-04-15 20:38:20,997] Making new env: Pong-v0
200 2 50 0.1 0.01
iter 0, mean_pop -1.00, cur_reward -1.00, aver_reward -1.00
iter 1, mean_pop -0.92, cur_reward -1.00, aver_reward -1.00
iter 2, mean_pop -0.84, cur_reward -1.00, aver_reward -1.00
iter 3, mean_pop -0.88, cur_reward -1.00, aver_reward -1.00
iter 4, mean_pop -0.88, cur_reward -1.00, aver_reward -1.00
iter 5, mean_pop -0.92, cur_reward -1.00, aver_reward -1.00
iter 6, mean_pop -0.88, cur_reward -1.00, aver_reward -1.00
iter 7, mean_pop -0.80, cur_reward -1.00, aver_reward -1.00
iter 8, mean_pop -0.92, cur_reward -1.00, aver_reward -1.00
iter 9, mean_pop -0.92, cur_reward -1.00, aver_reward -1.00
iter 10, mean_pop -0.84, cur_reward -1.00, aver_reward -1.00
iter 11, mean_pop -0.96, cur_reward -1.00, aver_reward -1.00
iter 12, mean_pop -0.84, cur_reward -1.00, aver_reward -1.00
iter 13, mean_pop -0.88, cur_reward -1.00, aver_reward -1.00
iter 14, mean_pop -0.80, cur_reward -1.00, aver_reward -1.00
iter 15, mean_pop -0.96, cur_reward -1.00, aver_reward -1.00
iter 16, mean_pop -0.88, cur_reward -1.00, aver_reward -1.00
iter 17, mean_pop -0.92, cur_reward -1.00, aver_reward -1.00
iter 18, mean_pop -0.88, cur_reward -1.00, aver_reward -1.00
iter 19, mean_pop -1.00, cur_reward -1.00, aver_reward -1.00
iter 20, mean_pop -0.92, cur_reward -1.00, aver_reward -1.00
iter 21, mean_pop -0.88, cur_reward -1.00, aver_reward -1.00
iter 22, mean_pop -0.80, cur_reward -1.00, aver_reward -1.00
iter 23, mean_pop -0.88, cur_reward -1.00, aver_reward -1.00
iter 24, mean_pop -0.84, cur_reward -1.00, aver_reward -1.00
iter 25, mean_pop -0.84, cur_reward -1.00, aver_reward -1.00
iter 26, mean_pop -0.92, cur_reward -1.00, aver_reward -1.00
iter 27, mean_pop -0.92, cur_reward -1.00, aver_reward -1.00
iter 28, mean_pop -1.00, cur_reward -1.00, aver_reward -1.00
iter 29, mean_pop -0.84, cur_reward -1.00, aver_reward -1.00
iter 30, mean_pop -0.84, cur_reward -1.00, aver_reward -1.00
iter 31, mean_pop -0.92, cur_reward -1.00, aver_reward -1.00
iter 32, mean_pop -0.68, cur_reward -1.00, aver_reward -1.00
iter 33, mean_pop -0.76, cur_reward -1.00, aver_reward -1.00
iter 34, mean_pop -0.88, cur_reward -1.00, aver_reward -1.00
iter 35, mean_pop -0.92, cur_reward -1.00, aver_reward -1.00
iter 36, mean_pop -0.80, cur_reward -1.00, aver_reward -1.00
iter 37, mean_pop -0.84, cur_reward -1.00, aver_reward -1.00
iter 38, mean_pop -0.88, cur_reward -1.00, aver_reward -1.00
iter 39, mean_pop -0.88, cur_reward -1.00, aver_reward -1.00
iter 40, mean_pop -0.96, cur_reward -1.00, aver_reward -1.00
iter 41, mean_pop -0.92, cur_reward -1.00, aver_reward -1.00
iter 42, mean_pop -0.72, cur_reward -1.00, aver_reward -1.00
iter 43, mean_pop -0.80, cur_reward -1.00, aver_reward -1.00
iter 44, mean_pop -0.92, cur_reward -1.00, aver_reward -1.00
iter 45, mean_pop -0.76, cur_reward -1.00, aver_reward -1.00
iter 46, mean_pop -0.76, cur_reward -1.00, aver_reward -1.00
iter 47, mean_pop -0.76, cur_reward -1.00, aver_reward -1.00
iter 48, mean_pop -0.84, cur_reward -1.00, aver_reward -1.00
iter 49, mean_pop -0.92, cur_reward -1.00, aver_reward -1.00
iter 50, mean_pop -0.84, cur_reward -1.00, aver_reward -1.00
iter 51, mean_pop -0.92, cur_reward -1.00, aver_reward -1.00
iter 52, mean_pop -0.88, cur_reward -1.00, aver_reward -1.00
iter 53, mean_pop -0.92, cur_reward -1.00, aver_reward -1.00
iter 54, mean_pop -0.84, cur_reward -1.00, aver_reward -1.00
iter 55, mean_pop -0.96, cur_reward -1.00, aver_reward -1.00
iter 56, mean_pop -0.84, cur_reward -1.00, aver_reward -1.00
iter 57, mean_pop -0.88, cur_reward -1.00, aver_reward -1.00
iter 58, mean_pop -0.68, cur_reward -1.00, aver_reward -1.00
iter 59, mean_pop -0.80, cur_reward -1.00, aver_reward -1.00
iter 60, mean_pop -0.88, cur_reward -1.00, aver_reward -1.00
iter 61, mean_pop -0.80, cur_reward -1.00, aver_reward -1.00
iter 62, mean_pop -0.92, cur_reward -1.00, aver_reward -1.00
iter 63, mean_pop -0.96, cur_reward -1.00, aver_reward -1.00
iter 64, mean_pop -0.92, cur_reward -1.00, aver_reward -1.00
iter 65, mean_pop -0.88, cur_reward 1.00, aver_reward -0.80
iter 66, mean_pop -0.80, cur_reward -1.00, aver_reward -0.82
iter 67, mean_pop -0.96, cur_reward -1.00, aver_reward -0.84
iter 68, mean_pop -0.88, cur_reward -1.00, aver_reward -0.85
iter 69, mean_pop -0.88, cur_reward -1.00, aver_reward -0.87
iter 70, mean_pop -0.80, cur_reward 1.00, aver_reward -0.68
iter 71, mean_pop -0.80, cur_reward -1.00, aver_reward -0.71
iter 72, mean_pop -0.84, cur_reward -1.00, aver_reward -0.74
iter 73, mean_pop -0.88, cur_reward -1.00, aver_reward -0.77
iter 74, mean_pop -0.84, cur_reward 1.00, aver_reward -0.59
iter 75, mean_pop -0.96, cur_reward -1.00, aver_reward -0.63
iter 76, mean_pop -0.84, cur_reward -1.00, aver_reward -0.67
iter 77, mean_pop -0.76, cur_reward -1.00, aver_reward -0.70
iter 78, mean_pop -0.80, cur_reward -1.00, aver_reward -0.73
iter 79, mean_pop -0.88, cur_reward -1.00, aver_reward -0.76
iter 80, mean_pop -0.80, cur_reward 1.00, aver_reward -0.58
iter 81, mean_pop -0.96, cur_reward -1.00, aver_reward -0.62
iter 82, mean_pop -0.92, cur_reward -1.00, aver_reward -0.66
iter 83, mean_pop -0.84, cur_reward -1.00, aver_reward -0.70
iter 84, mean_pop -0.88, cur_reward -1.00, aver_reward -0.73
iter 85, mean_pop -0.80, cur_reward -1.00, aver_reward -0.75
iter 86, mean_pop -0.84, cur_reward -1.00, aver_reward -0.78
iter 87, mean_pop -0.92, cur_reward -1.00, aver_reward -0.80
iter 88, mean_pop -0.88, cur_reward 1.00, aver_reward -0.62
iter 89, mean_pop -0.92, cur_reward -1.00, aver_reward -0.66
iter 90, mean_pop -0.80, cur_reward -1.00, aver_reward -0.69
iter 91, mean_pop -0.84, cur_reward 1.00, aver_reward -0.52
iter 92, mean_pop -0.80, cur_reward -1.00, aver_reward -0.57
iter 93, mean_pop -0.84, cur_reward -1.00, aver_reward -0.61
